,time,output,current
10150,31793.07151008979,3.6131861,-0.67944366
10151,31794.07151013729,3.6130285,-0.6795620099999999
10152,31795.07151018479,3.6131468,-0.6795620099999999
10153,31796.07151023229,3.6132255,-0.67970001
10154,31797.07151027978,3.6130285,-0.6796211499999999
10155,31798.07151032728,3.6131468,-0.67977887
10156,31799.07151037478,3.6129892,-0.67958167
10157,31800.07151042228,3.6128316,-0.67946344
10158,31801.07151046977,3.6129498,-0.67968024
10159,31802.07151051727,3.6129498,-0.6797197300000001
10160,31803.07151056477,3.6129892,-0.67977887
10161,31804.07151061227,3.6127527,-0.6795620099999999
10162,31805.07151065976,3.6128316,-0.6796211499999999
10163,31806.07151070726,3.6125557,-0.67946344
10164,31807.07151075476,3.6127133,-0.67952252
10165,31808.07151080226,3.6127527,-0.67946344
10166,31809.07151084975,3.612674,-0.67964087
10167,31810.07151089725,3.6124771,-0.6796211499999999
10168,31811.07151094475,3.6124771,-0.6796013799999999
10169,31812.07151099225,3.6124375,-0.6795028099999999
10170,31813.07151103974,3.6125164,-0.67948315
10171,31814.07151108724,3.6124771,-0.67952252
10172,31815.07151113474,3.6123195,-0.67948315
10173,31816.07151118224,3.6123195,-0.67964087
10174,31817.07151122973,3.6123195,-0.67964087
10175,31818.07151127723,3.6122406,-0.67952252
10176,31819.07151132473,3.6122406,-0.6795620099999999
10177,31820.07151137223,3.6121619,-0.67958167
10178,31821.07151141972,3.6122012,-0.6795028099999999
10179,31822.07151146722,3.6122801,-0.6796211499999999
10180,31823.07151151472,3.6121225,-0.6797197300000001
10181,31824.07151156222,3.6120043,-0.67946344
10182,31825.07151160971,3.611886,-0.6795028099999999
10183,31826.07151165721,3.6119254,-0.6796211499999999
10184,31827.07151170471,3.6119254,-0.67952252
10185,31828.07151175221,3.6119254,-0.67966058
10186,31829.0715117997,3.6117284,-0.6795620099999999
10187,31830.0715118472,3.6117678,-0.6795620099999999
10188,31831.0715118947,3.6117284,-0.6795620099999999
10189,31832.07151194219,3.6116891,-0.6795422999999999
10190,31833.07151198969,3.6118073,-0.67964087
10191,31834.07151203719,3.6118073,-0.6796211499999999
10192,31835.07151208469,3.6115315,-0.6796211499999999
10193,31836.07151213218,3.6115708,-0.6795422999999999
10194,31837.07151217968,3.6114922,-0.6795028099999999
10195,31838.07151222718,3.6114922,-0.6796211499999999
